trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,count,coverage
0.0,8000000.0,9.0,5.0,2708.0,831.67,0.0,8000000.0,1.0
1.0,8000000.0,12.0,6.0,2777.0,805.23,0.0,8000000.0,1.0
2.0,8000000.0,15.0,7.0,2552.0,862.05,0.0,8000000.0,1.0
3.0,8000000.0,18.0,8.0,2620.0,794.92,0.0,8000000.0,1.0
4.0,8000000.0,21.0,9.0,2680.0,825.93,0.0,8000000.0,1.0
5.0,8000000.0,24.0,10.0,2939.0,884.63,0.0,8000000.0,1.0
6.0,8000000.0,27.0,11.0,2631.0,858.45,0.0,8000000.0,1.0
7.0,8000000.0,30.0,12.0,3035.0,779.71,0.0,8000000.0,1.0
8.0,8000000.0,33.0,13.0,3059.0,830.04,0.0,8000000.0,1.0
9.0,8000000.0,36.0,14.0,2778.0,831.56,0.0,8000000.0,1.0
10.0,8000000.0,39.0,15.0,2598.0,886.04,0.0,8000000.0,1.0
11.0,8000000.0,42.0,16.0,2995.0,819.21,0.0,8000000.0,1.0
12.0,8000000.0,45.0,17.0,2527.0,817.54,0.0,8000000.0,1.0
13.0,8000000.0,48.0,18.0,3018.0,872.0,0.0,8000000.0,1.0
14.0,8000000.0,51.0,19.0,2598.0,876.77,0.0,8000000.0,1.0
15.0,8000000.0,54.0,20.0,2852.0,835.24,0.0,8000000.0,1.0
16.0,8000000.0,57.0,21.0,2727.0,890.74,0.0,8000000.0,1.0
17.0,8000000.0,60.0,22.0,2665.0,824.01,0.0,8000000.0,1.0
18.0,8000000.0,63.0,23.0,2601.0,852.32,0.0,8000000.0,1.0
19.0,8000000.0,66.0,24.0,3165.0,817.92,0.0,8000000.0,1.0
