intervalMs,submitMs,count,revision
23.472,3.453,4000000.0,26.0
71.581,59.248,4000000.0,26.0
39.32,39.287,4000000.0,26.0
38.755,38.714,4000000.0,26.0
45.297,45.255,4000000.0,26.0
40.073,40.015,4000000.0,26.0
38.38,38.274,4000000.0,26.0
36.918,36.892,4000000.0,26.0
43.32,43.296,4000000.0,26.0
44.039,40.978,4000000.0,26.0
39.058,39.019,4000000.0,26.0
37.771,37.727,4000000.0,26.0
48.186,48.142,4000000.0,26.0
23.83,23.767,4000000.0,26.0
48.076,48.007,4000000.0,26.0
34.41,34.372,4000000.0,26.0
35.633,32.791,4000000.0,26.0
35.989,35.959,4000000.0,26.0
37.008,36.981,4000000.0,26.0
36.274,36.243,4000000.0,26.0
33.95,33.916,4000000.0,26.0
36.459,36.396,4000000.0,26.0
37.494,37.461,4000000.0,26.0
33.481,33.452,4000000.0,26.0
37.063,35.234,4000000.0,26.0
34.951,34.846,4000000.0,26.0
35.523,35.491,4000000.0,26.0
34.907,34.873,4000000.0,26.0
33.624,33.576,4000000.0,26.0
35.824,35.799,4000000.0,26.0
34.927,34.815,4000000.0,26.0
35.898,35.871,4000000.0,26.0
34.21,30.932,4000000.0,26.0
35.907,35.878,4000000.0,26.0
35.716,35.691,4000000.0,26.0
35.014,34.969,4000000.0,26.0
50.708,50.681,4000000.0,26.0
17.008,16.973,4000000.0,26.0
41.859,41.779,4000000.0,26.0
48.586,48.499,4000000.0,26.0
22.567,19.513,4000000.0,26.0
35.406,35.363,4000000.0,26.0
34.82,34.798,4000000.0,26.0
38.495,38.406,4000000.0,26.0
32.678,32.582,4000000.0,26.0
35.317,35.287,4000000.0,26.0
46.658,46.631,4000000.0,26.0
25.672,25.639,4000000.0,26.0
50.895,50.084,4000000.0,26.0
15.704,15.623,4000000.0,26.0
41.897,41.815,4000000.0,26.0
35.548,35.523,4000000.0,26.0
36.176,36.139,4000000.0,26.0
35.906,35.87,4000000.0,26.0
35.979,35.953,4000000.0,26.0
52.478,52.449,4000000.0,26.0
32.171,32.033,4000000.0,26.0
28.876,27.027,4000000.0,26.0
38.744,38.714,4000000.0,26.0
40.601,40.578,4000000.0,26.0
38.309,38.28,4000000.0,26.0
42.237,42.14,4000000.0,26.0
40.492,40.471,4000000.0,26.0
40.742,40.714,4000000.0,26.0
40.168,39.461,4000000.0,26.0
42.662,42.638,4000000.0,26.0
38.313,38.28,4000000.0,26.0
37.123,37.085,4000000.0,26.0
43.997,43.967,4000000.0,26.0
40.722,40.701,4000000.0,26.0
36.426,36.385,4000000.0,26.0
41.535,41.513,4000000.0,26.0
46.166,44.544,4000000.0,26.0
38.604,38.576,4000000.0,26.0
39.63,39.598,4000000.0,26.0
48.173,48.149,4000000.0,26.0
46.825,46.794,4000000.0,26.0
40.223,40.191,4000000.0,26.0
44.45,44.42,4000000.0,26.0
48.924,46.594,4000000.0,26.0
51.233,51.149,4000000.0,26.0
24.088,24.04,4000000.0,26.0
50.805,50.741,4000000.0,26.0
52.74,52.708,4000000.0,26.0
55.596,55.453,4000000.0,26.0
8.128,7.109,4000000.0,26.0
57.607,48.103,4000000.0,26.0
35.105,35.01,4000000.0,26.0
36.435,36.383,4000000.0,26.0
36.72,36.67,4000000.0,26.0
40.223,40.163,4000000.0,26.0
31.057,27.08,4000000.0,26.0
35.35,35.318,4000000.0,26.0
34.76,34.704,4000000.0,26.0
32.683,32.614,4000000.0,26.0
35.303,35.205,4000000.0,26.0
37.047,36.967,4000000.0,26.0
35.936,35.867,4000000.0,26.0
35.159,35.059,4000000.0,26.0
48.4,48.333,4000000.0,26.0
19.486,12.806,4000000.0,26.0
42.252,42.208,4000000.0,26.0
34.009,33.885,4000000.0,26.0
34.619,34.552,4000000.0,26.0
34.259,34.212,4000000.0,26.0
35.144,35.055,4000000.0,26.0
34.0,33.884,4000000.0,26.0
34.793,34.54,4000000.0,26.0
51.714,51.64,4000000.0,26.0
13.855,5.823,4000000.0,26.0
43.359,29.73,4000000.0,26.0
35.623,35.542,4000000.0,26.0
34.622,34.53,4000000.0,26.0
34.245,34.157,4000000.0,26.0
35.262,35.179,4000000.0,26.0
34.404,34.337,4000000.0,26.0
35.5,35.417,4000000.0,26.0
48.892,48.813,4000000.0,26.0
16.934,14.512,4000000.0,26.0
43.255,39.964,4000000.0,26.0
32.314,32.256,4000000.0,26.0
34.256,34.169,4000000.0,26.0
34.638,34.596,4000000.0,26.0
38.601,38.522,4000000.0,26.0
49.325,49.238,4000000.0,26.0
32.71,32.616,4000000.0,26.0
34.289,34.24,4000000.0,26.0
39.166,37.494,4000000.0,26.0
40.545,40.495,4000000.0,26.0
40.358,40.324,4000000.0,26.0
61.292,61.206,4000000.0,26.0
18.051,17.97,4000000.0,26.0
51.922,46.533,4000000.0,26.0
44.319,44.219,4000000.0,26.0
30.961,27.19,4000000.0,26.0
50.821,50.71,4000000.0,26.0
40.334,40.218,4000000.0,26.0
42.953,42.855,4000000.0,26.0
41.225,41.17,4000000.0,26.0
36.603,36.508,4000000.0,26.0
36.967,36.885,4000000.0,26.0
39.296,39.253,4000000.0,26.0
47.295,47.224,4000000.0,26.0
21.343,17.807,4000000.0,26.0
53.154,53.118,4000000.0,26.0
37.6,37.52,4000000.0,26.0
40.2,40.094,4000000.0,26.0
42.066,42.014,4000000.0,26.0
40.399,40.322,4000000.0,26.0
37.363,37.253,4000000.0,26.0
40.356,38.115,4000000.0,26.0
37.333,37.25,4000000.0,26.0
37.433,37.324,4000000.0,26.0
36.241,36.188,4000000.0,26.0
35.898,35.835,4000000.0,26.0
37.095,37.056,4000000.0,26.0
36.237,36.164,4000000.0,26.0
36.399,36.312,4000000.0,26.0
52.042,51.931,4000000.0,26.0
16.94,12.055,4000000.0,26.0
43.489,43.46,4000000.0,26.0
38.192,38.11,4000000.0,26.0
37.027,36.94,4000000.0,26.0
43.979,43.876,4000000.0,26.0
43.629,43.539,4000000.0,26.0
16.478,16.404,4000000.0,26.0
56.259,56.209,4000000.0,26.0
68.306,68.239,4000000.0,26.0
2.372,0.396,4000000.0,26.0
53.434,32.901,4000000.0,26.0
35.639,35.564,4000000.0,26.0
59.362,59.273,4000000.0,26.0
16.17,16.072,4000000.0,26.0
41.288,31.858,4000000.0,26.0
36.034,35.92,4000000.0,26.0
58.831,58.719,4000000.0,26.0
9.081,1.259,4000000.0,26.0
47.962,32.788,4000000.0,26.0
35.801,35.696,4000000.0,26.0
35.516,35.471,4000000.0,26.0
35.789,35.688,4000000.0,26.0
36.108,36.055,4000000.0,26.0
37.76,37.698,4000000.0,26.0
37.19,37.09,4000000.0,26.0
51.539,51.432,4000000.0,26.0
16.327,14.265,4000000.0,26.0
44.443,44.408,4000000.0,26.0
36.714,36.635,4000000.0,26.0
36.266,36.19,4000000.0,26.0
36.94,36.895,4000000.0,26.0
37.949,37.85,4000000.0,26.0
37.875,37.833,4000000.0,26.0
37.415,37.373,4000000.0,26.0
38.089,37.031,4000000.0,26.0
37.314,37.218,4000000.0,26.0
40.344,40.304,4000000.0,26.0
41.69,41.617,4000000.0,26.0
42.017,41.914,4000000.0,26.0
40.098,39.99,4000000.0,26.0
42.306,42.237,4000000.0,26.0
45.758,45.657,4000000.0,26.0
31.441,29.492,4000000.0,26.0
49.542,49.491,4000000.0,26.0
39.912,39.806,4000000.0,26.0
102.934,102.899,4000000.0,26.0
17.47,17.422,4000000.0,26.0
57.869,57.789,4000000.0,26.0
44.399,44.352,4000000.0,26.0
