trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,count,coverage
0.0,4000000.0,6.0,5.0,520.0,491.61,0.0,4000000.0,1.0
1.0,4000000.0,7.0,6.0,538.0,478.43,0.0,4000000.0,1.0
2.0,4000000.0,8.0,7.0,413.0,384.3,0.0,4000000.0,1.0
3.0,4000000.0,9.0,8.0,531.0,478.52,0.0,4000000.0,1.0
4.0,4000000.0,10.0,9.0,526.0,475.27,0.0,4000000.0,1.0
5.0,4000000.0,11.0,10.0,522.0,493.58,0.0,4000000.0,1.0
6.0,4000000.0,12.0,11.0,559.0,479.46,0.0,4000000.0,1.0
7.0,4000000.0,13.0,12.0,554.0,479.87,0.0,4000000.0,1.0
8.0,4000000.0,14.0,13.0,538.0,460.61,0.0,4000000.0,1.0
9.0,4000000.0,15.0,14.0,517.0,440.9,0.0,4000000.0,1.0
10.0,4000000.0,16.0,15.0,559.0,486.93,0.0,4000000.0,1.0
11.0,4000000.0,17.0,16.0,546.0,476.26,0.0,4000000.0,1.0
12.0,4000000.0,18.0,17.0,577.0,471.29,0.0,4000000.0,1.0
13.0,4000000.0,19.0,18.0,543.0,478.76,0.0,4000000.0,1.0
14.0,4000000.0,20.0,19.0,541.0,505.63,0.0,4000000.0,1.0
15.0,4000000.0,21.0,20.0,567.0,466.76,0.0,4000000.0,1.0
16.0,4000000.0,22.0,21.0,577.0,472.49,0.0,4000000.0,1.0
17.0,4000000.0,23.0,22.0,546.0,474.44,0.0,4000000.0,1.0
18.0,4000000.0,24.0,23.0,517.0,459.54,0.0,4000000.0,1.0
19.0,4000000.0,25.0,24.0,576.0,460.13,0.0,4000000.0,1.0
