trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,networkBytes,count,coverage
0.0,8000000.0,6.0,4.0,890.0,862.67,0.0,0.0,8000000.0,1.0
1.0,8000000.0,7.0,5.0,956.0,861.54,0.0,0.0,8000000.0,1.0
2.0,8000000.0,8.0,6.0,952.0,895.7,0.0,0.0,8000000.0,1.0
3.0,8000000.0,9.0,7.0,1010.0,928.06,0.0,0.0,8000000.0,1.0
4.0,8000000.0,10.0,8.0,927.0,870.94,0.0,0.0,8000000.0,1.0
5.0,8000000.0,11.0,9.0,965.0,877.3,0.0,0.0,8000000.0,1.0
6.0,8000000.0,12.0,10.0,911.0,850.64,0.0,0.0,8000000.0,1.0
7.0,8000000.0,13.0,11.0,942.0,871.09,0.0,0.0,8000000.0,1.0
8.0,8000000.0,14.0,12.0,913.0,865.43,0.0,0.0,8000000.0,1.0
9.0,8000000.0,15.0,13.0,973.0,906.05,0.0,0.0,8000000.0,1.0
10.0,8000000.0,16.0,14.0,985.0,891.88,0.0,0.0,8000000.0,1.0
11.0,8000000.0,17.0,15.0,947.0,871.51,0.0,0.0,8000000.0,1.0
12.0,8000000.0,18.0,16.0,942.0,871.06,0.0,0.0,8000000.0,1.0
13.0,8000000.0,19.0,17.0,864.0,801.7,0.0,0.0,8000000.0,1.0
14.0,8000000.0,20.0,18.0,908.0,836.89,0.0,0.0,8000000.0,1.0
15.0,8000000.0,21.0,19.0,984.0,929.65,0.0,0.0,8000000.0,1.0
16.0,8000000.0,22.0,20.0,960.0,889.43,0.0,0.0,8000000.0,1.0
17.0,8000000.0,23.0,21.0,923.0,867.27,0.0,0.0,8000000.0,1.0
18.0,8000000.0,24.0,22.0,942.0,879.49,0.0,0.0,8000000.0,1.0
19.0,8000000.0,25.0,23.0,889.0,845.33,0.0,0.0,8000000.0,1.0
