intervalMs,submitMs,count,revision
26.115,1.832,2000000.0,26.0
24.427,12.853,2000000.0,26.0
20.812,13.107,2000000.0,26.0
20.32,20.285,2000000.0,26.0
19.175,19.091,2000000.0,26.0
19.172,19.124,2000000.0,26.0
19.621,19.584,2000000.0,26.0
21.991,21.957,2000000.0,26.0
20.771,20.736,2000000.0,26.0
15.879,15.845,2000000.0,26.0
18.88,17.608,2000000.0,26.0
18.689,18.652,2000000.0,26.0
19.989,19.958,2000000.0,26.0
20.105,20.051,2000000.0,26.0
19.976,19.948,2000000.0,26.0
18.92,18.845,2000000.0,26.0
18.889,18.798,2000000.0,26.0
14.247,10.026,2000000.0,26.0
22.458,22.42,2000000.0,26.0
19.547,19.45,2000000.0,26.0
20.062,19.982,2000000.0,26.0
18.588,18.53,2000000.0,26.0
18.474,18.393,2000000.0,26.0
18.551,18.499,2000000.0,26.0
17.373,16.075,2000000.0,26.0
18.578,14.347,2000000.0,26.0
18.734,18.678,2000000.0,26.0
18.27,18.196,2000000.0,26.0
18.298,18.204,2000000.0,26.0
16.969,16.873,2000000.0,26.0
17.381,17.303,2000000.0,26.0
16.794,16.723,2000000.0,26.0
21.627,21.548,2000000.0,26.0
11.494,8.645,2000000.0,26.0
20.533,18.111,2000000.0,26.0
17.777,17.726,2000000.0,26.0
16.342,16.275,2000000.0,26.0
16.618,16.577,2000000.0,26.0
16.969,16.922,2000000.0,26.0
17.437,14.549,2000000.0,26.0
16.352,16.285,2000000.0,26.0
26.833,26.798,2000000.0,26.0
5.04,1.329,2000000.0,26.0
24.974,20.258,2000000.0,26.0
16.769,15.648,2000000.0,26.0
17.133,17.061,2000000.0,26.0
15.72,15.656,2000000.0,26.0
17.491,17.385,2000000.0,26.0
16.842,16.799,2000000.0,26.0
16.866,16.828,2000000.0,26.0
15.802,15.749,2000000.0,26.0
24.38,24.319,2000000.0,26.0
7.368,4.068,2000000.0,26.0
22.58,14.178,2000000.0,26.0
16.448,16.408,2000000.0,26.0
16.4,16.368,2000000.0,26.0
16.566,16.521,2000000.0,26.0
17.405,17.249,2000000.0,26.0
16.188,15.422,2000000.0,26.0
16.176,16.136,2000000.0,26.0
20.603,20.57,2000000.0,26.0
12.282,10.072,2000000.0,26.0
18.386,18.339,2000000.0,26.0
16.481,16.426,2000000.0,26.0
16.147,11.662,2000000.0,26.0
16.409,16.372,2000000.0,26.0
16.579,12.158,2000000.0,26.0
16.49,16.433,2000000.0,26.0
16.567,14.256,2000000.0,26.0
20.494,20.419,2000000.0,26.0
11.95,10.554,2000000.0,26.0
18.863,18.828,2000000.0,26.0
17.214,17.174,2000000.0,26.0
16.016,15.957,2000000.0,26.0
16.167,16.115,2000000.0,26.0
17.299,10.187,2000000.0,26.0
15.941,14.839,2000000.0,26.0
16.639,10.419,2000000.0,26.0
27.598,27.49,2000000.0,26.0
5.708,1.106,2000000.0,26.0
24.244,22.792,2000000.0,26.0
15.664,14.091,2000000.0,26.0
16.623,16.529,2000000.0,26.0
17.28,17.138,2000000.0,26.0
15.837,15.754,2000000.0,26.0
16.435,14.763,2000000.0,26.0
17.388,17.332,2000000.0,26.0
26.09,26.02,2000000.0,26.0
4.967,3.372,2000000.0,26.0
23.852,23.121,2000000.0,26.0
16.547,16.518,2000000.0,26.0
16.299,16.257,2000000.0,26.0
16.471,16.387,2000000.0,26.0
17.24,17.162,2000000.0,26.0
16.613,16.554,2000000.0,26.0
16.608,16.292,2000000.0,26.0
15.861,15.782,2000000.0,26.0
16.617,16.561,2000000.0,26.0
16.763,16.709,2000000.0,26.0
16.58,15.465,2000000.0,26.0
16.949,16.927,2000000.0,26.0
16.882,16.843,2000000.0,26.0
15.825,15.735,2000000.0,26.0
17.374,17.314,2000000.0,26.0
15.996,14.151,2000000.0,26.0
17.092,17.064,2000000.0,26.0
17.62,17.519,2000000.0,26.0
23.037,22.987,2000000.0,26.0
8.611,6.078,2000000.0,26.0
22.152,8.033,2000000.0,26.0
16.707,16.673,2000000.0,26.0
16.842,12.124,2000000.0,26.0
17.785,17.721,2000000.0,26.0
16.309,12.342,2000000.0,26.0
17.701,17.679,2000000.0,26.0
24.969,24.878,2000000.0,26.0
6.81,5.787,2000000.0,26.0
23.669,17.812,2000000.0,26.0
17.437,17.395,2000000.0,26.0
17.958,17.888,2000000.0,26.0
16.612,16.54,2000000.0,26.0
18.5,18.435,2000000.0,26.0
17.847,17.762,2000000.0,26.0
18.357,18.3,2000000.0,26.0
21.268,21.205,2000000.0,26.0
15.561,14.257,2000000.0,26.0
20.985,20.937,2000000.0,26.0
19.233,17.83,2000000.0,26.0
19.363,19.315,2000000.0,26.0
19.722,19.643,2000000.0,26.0
19.392,19.317,2000000.0,26.0
20.107,19.08,2000000.0,26.0
14.461,12.557,2000000.0,26.0
21.252,21.214,2000000.0,26.0
20.627,20.572,2000000.0,26.0
20.54,20.512,2000000.0,26.0
20.858,20.82,2000000.0,26.0
19.886,19.84,2000000.0,26.0
20.804,20.766,2000000.0,26.0
19.51,19.412,2000000.0,26.0
11.926,10.616,2000000.0,26.0
24.667,14.905,2000000.0,26.0
20.845,20.801,2000000.0,26.0
19.719,19.693,2000000.0,26.0
21.055,20.966,2000000.0,26.0
19.71,19.631,2000000.0,26.0
20.799,20.732,2000000.0,26.0
19.88,19.809,2000000.0,26.0
12.987,10.522,2000000.0,26.0
22.268,12.847,2000000.0,26.0
20.24,20.187,2000000.0,26.0
20.779,20.758,2000000.0,26.0
21.34,21.285,2000000.0,26.0
20.386,20.301,2000000.0,26.0
20.855,20.76,2000000.0,26.0
19.745,19.666,2000000.0,26.0
18.51,17.094,2000000.0,26.0
22.132,22.101,2000000.0,26.0
21.95,21.876,2000000.0,26.0
21.987,21.926,2000000.0,26.0
22.625,22.593,2000000.0,26.0
21.192,21.144,2000000.0,26.0
24.74,24.675,2000000.0,26.0
4.826,3.92,2000000.0,26.0
29.508,29.413,2000000.0,26.0
20.986,20.915,2000000.0,26.0
21.153,21.046,2000000.0,26.0
20.525,20.484,2000000.0,26.0
21.615,21.579,2000000.0,26.0
20.879,20.846,2000000.0,26.0
18.32,18.233,2000000.0,26.0
10.447,9.837,2000000.0,26.0
26.269,14.654,2000000.0,26.0
19.196,19.125,2000000.0,26.0
18.867,18.782,2000000.0,26.0
19.064,18.97,2000000.0,26.0
17.085,17.039,2000000.0,26.0
17.961,17.847,2000000.0,26.0
17.313,17.219,2000000.0,26.0
17.824,17.79,2000000.0,26.0
17.337,17.266,2000000.0,26.0
17.168,17.133,2000000.0,26.0
10.817,7.165,2000000.0,26.0
19.922,19.885,2000000.0,26.0
18.194,18.119,2000000.0,26.0
15.339,15.273,2000000.0,26.0
17.428,17.342,2000000.0,26.0
15.607,15.525,2000000.0,26.0
16.967,16.876,2000000.0,26.0
15.389,15.353,2000000.0,26.0
27.169,27.09,2000000.0,26.0
7.293,1.325,2000000.0,26.0
21.609,1.189,2000000.0,26.0
15.97,3.633,2000000.0,26.0
21.603,1.892,2000000.0,26.0
12.153,2.008,2000000.0,26.0
22.724,2.062,2000000.0,26.0
11.603,2.041,2000000.0,26.0
38.823,22.138,2000000.0,26.0
5.272,1.402,2000000.0,26.0
23.127,3.992,2000000.0,26.0
16.305,7.915,2000000.0,26.0
17.075,2.3,2000000.0,26.0
16.508,4.36,2000000.0,26.0
21.229,2.022,2000000.0,26.0
11.546,1.808,2000000.0,26.0
22.131,1.19,2000000.0,26.0
12.901,1.925,2000000.0,26.0
37.539,18.59,2000000.0,26.0
4.686,0.952,2000000.0,26.0
24.233,6.649,2000000.0,26.0
20.799,1.835,2000000.0,26.0
