trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,networkBytes,count,coverage
0.0,2000000.0,6.0,5.0,266.0,217.63,0.0,0.0,2000000.0,1.0
1.0,2000000.0,7.0,6.0,251.0,214.73,0.0,0.0,2000000.0,1.0
2.0,2000000.0,8.0,7.0,281.0,226.97,0.0,0.0,2000000.0,1.0
3.0,2000000.0,9.0,8.0,307.0,248.9,0.0,0.0,2000000.0,1.0
4.0,2000000.0,10.0,9.0,296.0,245.76,0.0,0.0,2000000.0,1.0
5.0,2000000.0,11.0,10.0,275.0,237.6,0.0,0.0,2000000.0,1.0
6.0,2000000.0,12.0,11.0,312.0,255.94,0.0,0.0,2000000.0,1.0
7.0,2000000.0,13.0,12.0,302.0,240.26,0.0,0.0,2000000.0,1.0
8.0,2000000.0,14.0,13.0,276.0,248.85,0.0,0.0,2000000.0,1.0
9.0,2000000.0,15.0,14.0,267.0,231.21,0.0,0.0,2000000.0,1.0
10.0,2000000.0,16.0,15.0,280.0,224.28,0.0,0.0,2000000.0,1.0
11.0,2000000.0,17.0,16.0,267.0,226.55,0.0,0.0,2000000.0,1.0
12.0,2000000.0,18.0,17.0,268.0,230.1,0.0,0.0,2000000.0,1.0
13.0,2000000.0,19.0,18.0,288.0,242.85,0.0,0.0,2000000.0,1.0
14.0,2000000.0,20.0,19.0,255.0,227.86,0.0,0.0,2000000.0,1.0
15.0,2000000.0,21.0,20.0,277.0,249.44,0.0,0.0,2000000.0,1.0
16.0,2000000.0,22.0,21.0,299.0,249.38,0.0,0.0,2000000.0,1.0
17.0,2000000.0,23.0,22.0,316.0,252.16,0.0,0.0,2000000.0,1.0
18.0,2000000.0,24.0,23.0,287.0,233.53,0.0,0.0,2000000.0,1.0
19.0,2000000.0,25.0,24.0,267.0,236.69,0.0,0.0,2000000.0,1.0
