trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,networkBytes,count,coverage
0.0,4000000.0,6.0,5.0,505.0,446.23,0.0,0.0,4000000.0,1.0
1.0,4000000.0,7.0,6.0,546.0,493.81,0.0,0.0,4000000.0,1.0
2.0,4000000.0,8.0,7.0,511.0,447.91,0.0,0.0,4000000.0,1.0
3.0,4000000.0,9.0,8.0,524.0,458.55,0.0,0.0,4000000.0,1.0
4.0,4000000.0,10.0,9.0,542.0,473.03,0.0,0.0,4000000.0,1.0
5.0,4000000.0,11.0,10.0,537.0,477.32,0.0,0.0,4000000.0,1.0
6.0,4000000.0,12.0,11.0,491.0,460.03,0.0,0.0,4000000.0,1.0
7.0,4000000.0,13.0,12.0,524.0,466.4,0.0,0.0,4000000.0,1.0
8.0,4000000.0,14.0,13.0,523.0,448.39,0.0,0.0,4000000.0,1.0
9.0,4000000.0,15.0,14.0,511.0,478.75,0.0,0.0,4000000.0,1.0
10.0,4000000.0,16.0,15.0,527.0,459.53,0.0,0.0,4000000.0,1.0
11.0,4000000.0,17.0,16.0,536.0,470.52,0.0,0.0,4000000.0,1.0
12.0,4000000.0,18.0,17.0,557.0,482.53,0.0,0.0,4000000.0,1.0
13.0,4000000.0,19.0,18.0,512.0,468.56,0.0,0.0,4000000.0,1.0
14.0,4000000.0,20.0,19.0,535.0,449.51,0.0,0.0,4000000.0,1.0
15.0,4000000.0,21.0,20.0,505.0,457.9,0.0,0.0,4000000.0,1.0
16.0,4000000.0,22.0,21.0,512.0,446.55,0.0,0.0,4000000.0,1.0
17.0,4000000.0,23.0,22.0,514.0,466.56,0.0,0.0,4000000.0,1.0
18.0,4000000.0,24.0,23.0,531.0,445.88,0.0,0.0,4000000.0,1.0
19.0,4000000.0,25.0,24.0,490.0,463.86,0.0,0.0,4000000.0,1.0
