trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,networkBytes,count,coverage
0.0,8000000.0,8.0,5.0,1134.0,1049.84,0.0,0.0,8000000.0,1.0
1.0,8000000.0,9.0,6.0,1049.0,961.65,0.0,0.0,8000000.0,1.0
2.0,8000000.0,10.0,7.0,1135.0,1043.88,0.0,0.0,8000000.0,1.0
3.0,8000000.0,11.0,8.0,1220.0,1165.83,0.0,0.0,8000000.0,1.0
4.0,8000000.0,12.0,9.0,1146.0,1096.07,0.0,0.0,8000000.0,1.0
5.0,8000000.0,13.0,10.0,1127.0,1032.02,0.0,0.0,8000000.0,1.0
6.0,8000000.0,14.0,11.0,1070.0,996.02,0.0,0.0,8000000.0,1.0
7.0,8000000.0,15.0,12.0,1045.0,977.51,0.0,0.0,8000000.0,1.0
8.0,8000000.0,16.0,13.0,1082.0,1020.41,0.0,0.0,8000000.0,1.0
9.0,8000000.0,17.0,14.0,1143.0,1065.25,0.0,0.0,8000000.0,1.0
10.0,8000000.0,18.0,15.0,1091.0,990.0,0.0,0.0,8000000.0,1.0
11.0,8000000.0,19.0,16.0,1073.0,1013.62,0.0,0.0,8000000.0,1.0
12.0,8000000.0,20.0,17.0,1059.0,969.22,0.0,0.0,8000000.0,1.0
13.0,8000000.0,21.0,18.0,1162.0,1093.9,0.0,0.0,8000000.0,1.0
14.0,8000000.0,22.0,19.0,1111.0,1041.48,0.0,0.0,8000000.0,1.0
15.0,8000000.0,23.0,20.0,1093.0,991.07,0.0,0.0,8000000.0,1.0
16.0,8000000.0,24.0,21.0,1056.0,985.81,0.0,0.0,8000000.0,1.0
17.0,8000000.0,25.0,22.0,1089.0,1002.43,0.0,0.0,8000000.0,1.0
18.0,8000000.0,26.0,23.0,1063.0,975.41,0.0,0.0,8000000.0,1.0
19.0,8000000.0,27.0,24.0,1087.0,1014.11,0.0,0.0,8000000.0,1.0
